Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,183
2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1140
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,6637
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2011.03,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,5422
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,17
2011.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1197
2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,0
2011.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2011.03,Central government institutions funded social insurance schemes,312,Closing balance net worth,LE00000,B900000,20585
2011.03,Central government institutions funded social insurance schemes,312,Closing balance total liabilities and net worth,LE00000,L000000,27222
2011.03,Local government institutions,321,Closing balance total assets,LE00000,A000000,78737
2011.03,Local government institutions,321,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,12952
2011.03,Local government institutions,321,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2011.03,Local government institutions,321,Financial assets Closing balance currency and deposits,LE00000,AFA0200,787
2011.03,Local government institutions,321,Financial assets Closing balance debt securities,LE00000,AFA0300,878
2011.03,Local government institutions,321,Financial assets Closing balance loans,LE00000,AFA0400,1298
2011.03,Local government institutions,321,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,8562
2011.03,Local government institutions,321,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2011.03,Local government institutions,321,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,121
2011.03,Local government institutions,321,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1305
2011.03,Local government institutions,321,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,10270
2011.03,Local government institutions,321,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2011.03,Local government institutions,321,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2011.03,Local government institutions,321,Financial liabilities Closing balance debt securities,LE00000,AFL0300,3354
2011.03,Local government institutions,321,Financial liabilities Closing balance loans,LE00000,AFL0400,4192
2011.03,Local government institutions,321,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2011.03,Local government institutions,321,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2011.03,Local government institutions,321,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,244
2011.03,Local government institutions,321,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2480
2011.03,Local government institutions,321,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,37995
2011.03,Local government institutions,321,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,27791
2011.03,Local government institutions,321,Closing balance net worth,LE00000,B900000,68467
2011.03,Local government institutions,321,Closing balance total liabilities and net worth,LE00000,L000000,78737
2011.03,Non-profit institutions serving households,400,Closing balance total assets,LE00000,A000000,26863
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,11432
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance currency and deposits,LE00000,AFA0200,4417
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance debt securities,LE00000,AFA0300,152
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance loans,LE00000,AFA0400,6334
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,347
2011.03,Non-profit institutions serving households,400,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,65
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,117
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,810
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance debt securities,LE00000,AFL0300,5
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance loans,LE00000,AFL0400,402
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2011.03,Non-profit institutions serving households,400,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2011.03,Non-profit institutions serving households,400,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,403
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,7444
2011.03,Non-profit institutions serving households,400,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,7987
2011.03,Non-profit institutions serving households,400,Closing balance net worth,LE00000,B900000,26054
2011.03,Non-profit institutions serving households,400,Closing balance total liabilities and net worth,LE00000,L000000,26863
2011.03,Households,511,Closing balance total assets,LE00000,A000000,1136835
2011.03,Households,511,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,674508
2011.03,Households,511,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2011.03,Households,511,Financial assets Closing balance currency and deposits,LE00000,AFA0200,103937
2011.03,Households,511,Financial assets Closing balance debt securities,LE00000,AFA0300,5509
2011.03,Households,511,Financial assets Closing balance loans,LE00000,AFA0400,670
2011.03,Households,511,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,505475
2011.03,Households,511,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,58917
2011.03,Households,511,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2011.03,Households,511,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2011.03,Households,511,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,145108
2011.03,Households,511,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2011.03,Households,511,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2011.03,Households,511,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2011.03,Households,511,Financial liabilities Closing balance loans,LE00000,AFL0400,145108
2011.03,Households,511,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2011.03,Households,511,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2011.03,Households,511,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
2011.03,Households,511,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2011.03,Households,511,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,182598
2011.03,Households,511,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,279728
2011.03,Households,511,Closing balance net worth,LE00000,B900000,991727
2011.03,Households,511,Closing balance total liabilities and net worth,LE00000,L000000,1136835
2011.03,Rest of the world,611,Closing balance total assets,LE00000,A000000,316788
2011.03,Rest of the world,611,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,316788
2011.03,Rest of the world,611,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1776
2011.03,Rest of the world,611,Financial assets Closing balance currency and deposits,LE00000,AFA0200,29248
2011.03,Rest of the world,611,Financial assets Closing balance debt securities,LE00000,AFA0300,122245
2011.03,Rest of the world,611,Financial assets Closing balance loans,LE00000,AFA0400,81375
2011.03,Rest of the world,611,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,58506
2011.03,Rest of the world,611,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2011.03,Rest of the world,611,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,16768
2011.03,Rest of the world,611,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,6869
2011.03,Rest of the world,611,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,190570
2011.03,Rest of the world,611,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1778
2011.03,Rest of the world,611,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,8263
2011.03,Rest of the world,611,Financial liabilities Closing balance debt securities,LE00000,AFL0300,39264
2011.03,Rest of the world,611,Financial liabilities Closing balance loans,LE00000,AFL0400,22423
2011.03,Rest of the world,611,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,67107
2011.03,Rest of the world,611,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,22376
2011.03,Rest of the world,611,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,17298
2011.03,Rest of the world,611,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,12062
2011.03,Rest of the world,611,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,0
2011.03,Rest of the world,611,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
2011.03,Rest of the world,611,Closing balance net worth,LE00000,B900000,126218
2011.03,Rest of the world,611,Closing balance total liabilities and net worth,LE00000,L000000,316788
2011.03,Total economy (excl rest of the world),800,Closing balance total assets,LE00000,A000000,3460999
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,2120222
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1778
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance currency and deposits,LE00000,AFA0200,215438
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance debt securities,LE00000,AFA0300,192389
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance loans,LE00000,AFA0400,596788
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,842031
2011.03,Total economy (excl rest of the world),800,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,105141
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,32158
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,134500
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,2246440
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1776
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,236423
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance debt securities,LE00000,AFL0300,275370
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance loans,LE00000,AFL0400,655740
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,833430
2011.03,Total economy (excl rest of the world),800,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,82765
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,31629
2011.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,129308
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,648003
2011.03,Total economy (excl rest of the world),800,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,692774
2011.03,Total economy (excl rest of the world),800,Closing balance net worth,LE00000,B900000,1214559
2011.03,Total economy (excl rest of the world),800,Closing balance total liabilities and net worth,LE00000,L000000,3460999
2011.03,Total all sectors,900,Closing balance total assets,LE00000,A000000,3777787
2011.03,Total all sectors,900,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,2437010
2011.03,Total all sectors,900,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,3554
2011.03,Total all sectors,900,Financial assets Closing balance currency and deposits,LE00000,AFA0200,244687
2011.03,Total all sectors,900,Financial assets Closing balance debt securities,LE00000,AFA0300,314634
2011.03,Total all sectors,900,Financial assets Closing balance loans,LE00000,AFA0400,678163
2011.03,Total all sectors,900,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,900537
2011.03,Total all sectors,900,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,105141
2011.03,Total all sectors,900,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,48926
2011.03,Total all sectors,900,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,141369
2011.03,Total all sectors,900,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,2437010
2011.03,Total all sectors,900,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,3554
2011.03,Total all sectors,900,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,244687
2011.03,Total all sectors,900,Financial liabilities Closing balance debt securities,LE00000,AFL0300,314634
2011.03,Total all sectors,900,Financial liabilities Closing balance loans,LE00000,AFL0400,678163
2011.03,Total all sectors,900,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,900537
2011.03,Total all sectors,900,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,105141
2011.03,Total all sectors,900,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,48926
2011.03,Total all sectors,900,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,141369
2011.03,Total all sectors,900,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,648003
2011.03,Total all sectors,900,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,692774
2011.03,Total all sectors,900,Closing balance net worth,LE00000,B900000,1340777
2011.03,Total all sectors,900,Closing balance total liabilities and net worth,LE00000,L000000,3777787
2012.03,Non-corporate business enterprises,121,Closing balance total assets,LE00000,A000000,400015
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,118827
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance currency and deposits,LE00000,AFA0200,19473
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance debt securities,LE00000,AFA0300,5601
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance loans,LE00000,AFA0400,35394
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,49871
2012.03,Non-corporate business enterprises,121,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,3552
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,4936
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,400015
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance debt securities,LE00000,AFL0300,1873
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance loans,LE00000,AFL0400,78216
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,315199
2012.03,Non-corporate business enterprises,121,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
2012.03,Non-corporate business enterprises,121,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,4727
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,106444
2012.03,Non-corporate business enterprises,121,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,174744
2012.03,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000,0
2012.03,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000,400015
2012.03,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000,666693
2012.03,Corporate business enterprises,141,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,247513
2012.03,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200,31444
2012.03,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300,2468
2012.03,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400,69745
2012.03,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,57866
2012.03,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,12542
2012.03,Corporate business enterprises,141,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1637
2012.03,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,71810
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,663372
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300,29337
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400,230047
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,307556
2012.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,4381
2012.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,92050
2012.03,Corporate business enterprises,141,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,250584
2012.03,Corporate business enterprises,141,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,168597
2012.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,3322
2012.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,666693
2012.03,Central bank,211,Closing balance total assets,LE00000,A000000,25597
2012.03,Central bank,211,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,25545
2012.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,4409
2012.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,16873
2012.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,2438
2012.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,140
2012.03,Central bank,211,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2012.03,Central bank,211,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1684
2012.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1
2012.03,Central bank,211,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,25597
2012.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,19616
2012.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2012.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,2607
2012.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,2625
2012.03,Central bank,211,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Central bank,211,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,422
2012.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,327
2012.03,Central bank,211,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,36
2012.03,Central bank,211,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,16
2012.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
2012.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,25597
2012.03,Registered banks,221,Closing balance total assets,LE00000,A000000,394177
2012.03,Registered banks,221,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,387166
2012.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,7388
2012.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,36004
2012.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,315499
2012.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,420
2012.03,Registered banks,221,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2012.03,Registered banks,221,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,24342
2012.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3513
2012.03,Registered banks,221,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,400821
2012.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,224359
2012.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,87358
2012.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,38674
2012.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,25415
2012.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Registered banks,221,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,24846
2012.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,169
2012.03,Registered banks,221,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,1929
2012.03,Registered banks,221,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,5083
2012.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-6643
2012.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,394177
2012.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,6578
2012.03,Other depository institutions,222,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,6389
2012.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11
2012.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,1
2012.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,6377
2012.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2012.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2012.03,Other depository institutions,222,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
2012.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2012.03,Other depository institutions,222,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,6578
2012.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,7159
2012.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
2012.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
2012.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,-581
2012.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2012.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2012.03,Other depository institutions,222,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,175
2012.03,Other depository institutions,222,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2012.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
2012.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,6578
2012.03,Investment funds,231,Closing balance total assets,LE00000,A000000,44810
2012.03,Investment funds,231,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,44675
2012.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2012.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,10297
2012.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,14459
2012.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
2012.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,19566
2012.03,Investment funds,231,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2012.03,Investment funds,231,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2012.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,353
2012.03,Investment funds,231,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,44810
2012.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2012.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2012.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2012.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2012.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,44810
2012.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2012.03,Investment funds,231,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2012.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2012.03,Investment funds,231,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,135
2012.03,Investment funds,231,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
